date,oldTime,time_Combined,time_Unix,time,latitude,longitude,xcoord,ycoord,broadway,subway,male,race,perstop,age,frisked,searched,arstmade,sumissue,contrabn,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other
1/2/15,20:10,1/2/15 20:10,1420229400,159000,40.799931,-73.9406643,1000678,230719,0,0,1,Hispanic,20,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,20:21,1/2/15 20:21,1420230060,159660,40.6403567,-74.1315647,947737,172603,0,0,1,Hispanic,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:21,1/2/15 20:21,1420230060,159660,40.6403567,-74.1315647,947737,172603,0,0,1,Hispanic,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:21,1/2/15 20:21,1420230060,159660,40.6403567,-74.1315647,947737,172603,0,0,1,Hispanic,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:21,1/2/15 20:21,1420230060,159660,40.6403567,-74.1315647,947737,172603,0,0,1,Hispanic,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:30,1/2/15 20:30,1420230600,160200,40.8436611,-73.9200349,1006375,246656,0,0,1,Black,1,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,21:00,1/2/15 21:00,1420232400,162000,40.7184415,-73.9766995,990709,201025,0,0,1,Black,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,21:00,1/2/15 21:00,1420232400,162000,40.7184415,-73.9766995,990709,201025,0,0,1,Black,5,22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,21:00,1/2/15 21:00,1420232400,162000,40.8310329,-73.9127688,1008390,242057,0,0,1,Hispanic,3,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,21:00,1/2/15 21:00,1420232400,162000,40.6664809,-73.9038931,1010912,182108,0,0,,Other,3,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
